SerialNumber,PartNumber,ReceiverLine,ReceiverStation,AcquisitionDuration,SegmentCount,CSACLolCount,MinutesTillFirstCSACLol,StartPhaseMeasurementNS,AcqStartTimeDTUTC,FirstCSACLolDTUTC,LastCSACLolDTUTC,AcqEndTimeDTUTC,EndPhaseMeasurementNS,CSACAlarmCount,NumberOfLogRecords,AvgHeaterPower,MaxHeaterPower,BatteryChargeLevelInitial,BatteryChargeLevelFinal,BatteryDischargeRatePerHour,InitialHumidity,FinalHumidity,HumidityChange
1156,280720001,1649,5570,d27 h08 m11 s28,1,0,0,1365963254000000000,4/19/2023 18:13:56,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 2:25:24,1368325542000000000,0,3940,10.30729,10.49,100,20,0.1219157,24.1563,26.13502,1.978716
7425,280720001,1649,5578,d27 h05 m26 s46,1,0,0,1365973146000000000,4/19/2023 20:58:48,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 2:25:34,1368325552000000000,0,3924,10.8225,11.03,100,25.66667,0.1137559,26.27293,29.27646,3.003529
6843,280720001,1649,5586,d27 h05 m26 s58,1,0,0,1365973146000000000,4/19/2023 20:58:48,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 2:25:46,1368325564000000000,0,3924,11.4204,11.66,100,22.66667,0.1183463,23.83119,26.48999,2.658802
15809,280720003,1649,5594,d27 h05 m27 s08,1,0,0,1365973146000000000,4/19/2023 20:58:48,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 2:25:56,1368325574000000000,0,3924,13.28841,13.52,100,29,0.1086537,22.34524,27.35011,5.004864
3550,280720001,1649,5602,d27 h05 m27 s26,1,0,0,1365973146000000000,4/19/2023 20:58:48,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 2:26:14,1368325592000000000,0,3924,18.35939,18.72,100,16.33333,0.1280369,24.42714,26.39064,1.963507
449,280720001,1649,5610,d27 h05 m27 s39,1,0,0,1365973146000000000,4/19/2023 20:58:48,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 2:26:27,1368325605000000000,0,3924,12.75616,13,100,7.666667,0.141299,25.82236,27.59218,1.769819
6584,280720001,1649,5618,d27 h05 m26 s43,1,0,0,1365973189000000000,4/19/2023 20:59:31,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 2:26:14,1368325592000000000,0,3924,11.13764,11.33,100,20.66667,0.1214078,22.48671,25.21517,2.728458
6733,280720001,1649,5626,d27 h05 m26 s27,1,0,0,1365973190000000000,4/19/2023 20:59:32,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 2:25:59,1368325577000000000,0,3924,11.33105,11.54,100,21.33333,0.1203883,27.88316,30.9222,3.039042
8680,280720001,1649,5634,d27 h05 m26 s33,1,0,0,1365973190000000000,4/19/2023 20:59:32,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 2:26:05,1368325583000000000,0,3924,9.3594,9.58,98,23.33333,0.1142666,24.10586,27.13787,3.032015
2497,280720001,1649,5642,d27 h05 m26 s07,1,0,0,1365973190000000000,4/19/2023 20:59:32,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 2:25:39,1368325557000000000,0,3924,12.71099,12.94,100,17.33333,0.1265109,24.35118,27.00675,2.655575
1632,280720001,1649,5650,d27 h05 m26 s16,1,0,0,1365973189000000000,4/19/2023 20:59:31,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 2:25:47,1368325565000000000,0,3924,10.5718,10.78,100,14.33333,0.1311015,24.42141,26.97742,2.556011
7444,280720001,1649,5658,d27 h05 m25 s54,1,0,0,1365973189000000000,4/19/2023 20:59:31,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 2:25:25,1368325543000000000,0,3924,11.07788,11.29,100,23,0.1178394,21.16448,23.4283,2.263821
2048,280720001,1649,5666,d27 h05 m26 s02,1,0,0,1365973189000000000,4/19/2023 20:59:31,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 2:25:33,1368325551000000000,0,3924,11.23008,11.47,100,9,0.1392643,28.72868,31.63825,2.909565
15202,280720003,1649,5674,d27 h03 m19 s44,1,0,0,1365979866000000000,4/19/2023 22:50:48,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 2:10:32,1368324650000000000,0,3908,11.22337,11.42,100,36.66667,0.0972371,20.61853,22.25378,1.635254
3204,280720001,1649,5682,d27 h05 m11 s25,1,0,0,1365973189000000000,4/19/2023 20:59:31,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 2:10:56,1368324674000000000,0,3920,16.11356,16.41,100,6.333333,0.1433987,26.08379,27.68862,1.60483
15760,280720003,1649,5690,d27 h05 m11 s56,1,0,0,1365973189000000000,4/19/2023 20:59:31,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 2:11:27,1368324705000000000,0,3920,13.67834,13.94,100,21.66667,0.1199226,29.43456,32.04807,2.613514
2032,280720001,1649,5698,d27 h05 m12 s09,1,0,0,1365973189000000000,4/19/2023 20:59:31,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 2:11:40,1368324718000000000,0,3920,10.99443,11.2,100,9.666667,0.138293,27.21394,28.98763,1.773695
6569,280720001,1649,5706,d27 h05 m12 s19,1,0,0,1365973189000000000,4/19/2023 20:59:31,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 2:11:50,1368324728000000000,0,3920,9.802114,9.98,100,25,0.1148184,24.46154,26.39651,1.934969
15470,280720003,1649,5714,d27 h05 m12 s36,1,0,0,1365973189000000000,4/19/2023 20:59:31,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 2:12:07,1368324745000000000,0,3920,11.35671,11.55,100,30.33333,0.1066528,32.04416,36.10058,4.056419
4142,280720001,1649,5722,d27 h05 m12 s57,1,0,0,1365973189000000000,4/19/2023 20:59:31,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 2:12:28,1368324766000000000,0,3920,10.84334,11.06,100,14.66667,0.1306358,29.04184,31.60861,2.566778
8096,280720001,1649,5730,d27 h04 m33 s27,1,0,0,1365975575000000000,4/19/2023 21:39:17,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 2:12:44,1368324782000000000,0,3916,9.712715,9.89,100,25,0.1149324,25.0057,27.89619,2.89049
6612,280720001,1649,5738,d27 h05 m13 s29,1,0,0,1365973189000000000,4/19/2023 20:59:31,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 2:13:00,1368324798000000000,0,3920,10.92554,11.13,100,27,0.1117533,31.90725,35.44995,3.542707
7840,280720001,1649,5746,d27 h04 m36 s11,1,0,0,1365975575000000000,4/19/2023 21:39:17,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 2:15:28,1368324946000000000,0,3916,9.747443,9.95,100,25.33333,0.1144136,24.99658,27.76893,2.772348
2139,280720001,1649,5754,d27 h05 m16 s28,1,0,0,1365973190000000000,4/19/2023 20:59:32,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 2:16:00,1368324978000000000,0,3920,17.90824,18.19,100,12.33333,0.1341958,25.40295,27.93917,2.536219
3191,280720001,1649,5762,d27 h05 m14 s41,1,0,0,1365973189000000000,4/19/2023 20:59:31,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 2:14:12,1368324870000000000,0,3920,13.43244,13.67,100,7.333333,0.141856,30.03411,32.91414,2.880035
4173,280720001,1649,5770,d27 h04 m41 s45,1,0,0,1365975653000000000,4/19/2023 21:40:35,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 2:22:20,1368325358000000000,0,3916,10.65467,10.86,100,14.66667,0.1307398,28.1869,30.76783,2.580929
6810,280720001,1649,5778,d27 h05 m15 s17,2,1,-21694.9833333333,1365973189000000000,4/19/2023 20:59:31,4/4/2023 19:24:32,4/4/2023 19:24:32,5/17/2023 2:14:48,1368324906000000000,0,3924,10.71468,10.94,96,5.333333,0.1387922,23.0096,25.08146,2.071861
3623,280720001,1649,5786,d27 h05 m15 s29,1,0,0,1365973190000000000,4/19/2023 20:59:32,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 2:15:01,1368324919000000000,0,3920,9.803041,9.97,100,18.66667,0.1245041,27.03184,29.6444,2.612556
7095,280720001,1649,5794,d27 h05 m15 s22,1,0,0,1365973190000000000,4/19/2023 20:59:32,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 2:14:54,1368324912000000000,0,3920,11.06724,11.28,100,23,0.1178711,24.42904,26.71719,2.288155
562,280720001,1649,5802,d27 h05 m15 s14,1,0,0,1365973190000000000,4/19/2023 20:59:32,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 2:14:46,1368324904000000000,0,3920,11.36182,11.56,100,9.333333,0.1387924,23.20935,25.37441,2.165056
7630,280720001,1649,5810,d27 h05 m15 s03,1,0,0,1365973190000000000,4/19/2023 20:59:32,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 2:14:35,1368324893000000000,0,3920,10.1084,10.34,98,20,0.1194028,21.54054,23.75768,2.217142
